sig_id,drug_id
id_0112a0b2a,31610ede9
id_0114aaed0,58f735145
id_0118c5902,85cebfb8d
id_011c284f7,fb6c2c373
id_0124188e4,c4fd19474
id_01286cb48,28a15cf13
id_012a2d925,d73b6a4a2
id_0131c7fbd,01872549f
id_01321cc2b,3b3ba1d13
id_01358cd02,c4967143c
id_013caefbf,a28556d51
id_013cc7eca,2548d9153
id_013d94d49,ccb72441a
id_014092333,94197aabe
id_01424b2ca,81818cf39
id_014466728,8abbf7b55
id_0144e88e8,cacb2b860
id_014e9ee08,b7847446b
id_01534c4ee,87d714366
id_0157eefb3,45028a46a
id_01587ff16,e7f466249
id_0160300d7,42d153ebb
id_0162da5e3,9aff06a16
id_016364d11,d449fda32
id_0165cb330,fb0762638
id_016f18b33,2fc2852b3
id_016f3905a,357bf33db
id_0175478e7,2bb4818ff
id_017652e9a,d08af5d4b
id_017c7a597,c5af20b0f
id_017e29d4d,f3f77dac0
id_017f108a9,5e6f37c30
id_018492dbc,cacb2b860
id_01856bbd5,4501c0f05
id_01882cf6e,6ecbbb561
id_018e83eec,5a518a0f0
id_018eabd67,88d508490
id_018fc6bfa,2493e7197
id_0192489a1,026c86906
id_019351a82,f2558bc54
id_01952a294,2fcb45e51
id_01977bb32,56c22db82
id_019a1ab73,4d7c82229
id_019c2d7db,23b488dc9
id_01a39024a,28d0fcca8
id_01a4f84b2,d5a1bc32c
id_01ac1b14a,475c5fedb
id_01b05de6c,cacb2b860
id_01b1c6ab8,3ce3a519e
id_01b2f93ae,6ca507038
id_01b3f1a27,fd0ae9d6b
id_01b44b61f,3bc819237
id_01b5073a7,96e24fca6
id_01b5f3aea,fe37066fc
id_01b6623ce,2.96728E+041
id_01b6efc7f,8c91d6909
id_01bbbbcaa,e44cc3d92
id_01befe536,d1b47f29d
id_01c5c9827,ea6a9bd66
id_01c5e202c,6f039ecfb
id_01c65d875,cacb2b860
id_01c720273,1f7b51a4d
id_01cb69424,cacb2b860
id_01d1797b9,af3aa3a26
id_01d1e527e,79f6667af
id_01d50787a,9791e3d0b
id_01d6bfb4b,e994cfd02
id_01d945f63,17beda051
id_01df54942,cacb2b860
id_01e740d5f,cacb2b860
id_01e746d96,34bccc9b2
id_01e7ece50,8b87a7a83
id_01e84e099,62be1e189
id_01f054954,3befd988e
id_01f1c58a2,cacb2b860
id_01f2bd826,9900aeef2
id_01f3ec600,e01e578bc
id_01f476574,4da81d116
id_01fa77927,497160000000
id_01fc89a5a,e16d18580
id_0202d08e5,40f9caec1
id_0203a4cf8,bc45ee7ed
id_02047dd63,cacb2b860
id_02058f39b,b5ff305ac
id_02088f9bb,98c09cca0
id_020ba48d9,cacb2b860
id_020c2527f,a4a6aef68
id_020e66e33,72d0b6140
id_0210cba6a,ad7d27aa1
id_021136b7d,3188e1df7
id_02113de68,ff9565933
id_02137cac4,35bd6a5cb
id_021516fa7,66f13dd14
id_021559549,dd5d1290c
id_0218bcb2f,dfde88183
id_021d658ac,57f7c6a5c
id_021dc1d49,269c5bab3
id_021fd592f,cacb2b860
id_02210c40e,8b87a7a83
id_02221530e,4b7a7d212
id_022558d3e,244ef8123
id_0227c6599,6ff369788
id_02291b0ea,a6c49d7e9
id_022a1f85a,2159f4e19
id_022ab81bd,d1b47f29d
id_022df136b,990d1947d
id_023316930,a44e72ca3
id_02331a1f5,f3bdb4f89
id_0236e3425,87d714366
id_02371db3b,e4c68cd75
id_023973212,7438ef08f
id_0239a6604,721570a19
id_023bd0a50,7bb287e49
id_023d26b33,67b8f0a99
id_0241f1f99,562b5f4aa
id_024629df9,0
id_02485b4ba,404d8b3ae
id_024a52260,87d714366
id_024e15575,c638b8757
id_024f6faa6,226072171
id_025195b8c,a85e24e2e
id_025280178,98e035c12
id_0253eabda,4787e9cc1
id_02547851c,12be3bd59
id_02567e372,668bd9b0f
id_0256f3535,050116d56
id_02573df9e,367b43280
id_025764b09,6aeb27c9f
id_0259d5047,66dc0685e
id_0263807a7,2ab816414
id_026459674,8ce6e06b3
id_026a80642,b016fdb77
id_026ccd84a,1d3112471
id_026ecf01e,4a3595082
id_027496360,f82305521
id_02758a23e,5628cb3ee
id_0275dcc10,1865f086c
id_0276dba27,990d1947d
id_0279a7232,8c48a42be
id_0279e8025,07502fc59
id_027ddd814,5b900c81b
id_028115571,adb0c3173
id_0285c7eb7,2964edfc8
id_028638ca1,3894818c6
id_028aa6774,cf3449dda
id_028b6d60d,87d714366
id_028e3e413,cedb6c4a8
id_028f92703,4b54571e4
id_0290cfd3b,87d714366
id_02922b4ab,d9775e237
id_02945c933,9f80f3f77
id_02973bcb5,bd4236d75
id_029833ce8,481a0c086
id_0299389e5,7b083704c
id_029cae7c4,8b87a7a83
id_02a2dee60,126afe3ac
id_02a5e52d3,8f300f9d7
id_02a82c5dd,afd0dbace
id_02a8ee101,519d5133b
id_02aa7e9b8,c11d118db
id_02ae0e8cf,9e9c9ce56
id_02b02aaed,eb56effe8
id_02b0430ff,7e6b66a8f
id_02b157b78,b44140395
id_02b2fc262,b44140395
id_02b333e98,eaf243b69
id_02bc5cb63,66664cde2
id_02c417942,b207618e4
id_02c5a6aeb,52faec24a
id_02c749b75,062a92da6
id_02c93b4a5,cacb2b860
id_02cb33e37,df26c5aa0
id_02d0b8a41,4b8caf802
id_02d4fc86a,8648dfe09
id_02d9e7c10,819e196f2
id_02e412b06,7ec99cbab
id_02e87ef1b,feaadfd38
id_02e8f0488,225385f09
id_02e97862b,56d71e6c1
id_02ea1d24d,9f61be6d5
id_02f107491,e99c149b5
id_02f5e8e31,55f6ec3b4
id_02f75e527,816b84388
id_02f8cc9c9,9ef936a40
id_02f9e8511,13846f436
id_02fbfc86c,346c01544
id_0300b2550,5a518a0f0
id_0300c1f7a,a404bf959
id_03033f263,87d714366
id_03059e32e,15c8a8bc2
id_03091bb82,3e2f492de
id_030afe714,dd0ce6221
id_030c91a99,3f374d199
id_030e981da,7ab43c75d
id_03137701c,16aa4d496
id_0314fab9c,48847260e
id_0317f5a12,9e588abba
id_03199b81f,158113616
id_031ae839c,29140d496
id_03232ce81,b4a1f6f7f
id_03237b046,a8bab2657
id_032f44bbf,468ffed3e
id_033492d88,18c37e601
id_033cf584a,175129f43
id_033dfda16,8445939fb
id_0342d07e0,fadadbe1f
id_0343591d3,7ac150280
id_03495fee6,59ba32d4e
id_034af0742,5628cb3ee
id_034de71b9,eaa3d098e
id_0353ca747,439764b4a
id_0357299bc,b9eb60402
id_035c5cb20,abe5d0dcc
id_035d3f00d,97b1b62ef
id_0366331b7,6b8b675cc
id_0369e1b47,e3504b204
id_036f8d29e,e32dcf60e
id_03741da7d,09f1ecae4
id_037748763,5ffab4462
id_03776c704,734bb352c
id_037a21cdf,f8370b963
id_038300792,5112297b0
id_038675049,f8dc1fd51
id_0388db71e,c24b63529
id_038cf4f1b,6fb701ca1
id_038de6eda,b951836ee
id_0391c4468,1be20d6f2
id_03921ca7e,a85e24e2e
id_0393ac9ae,824a6c1ca
id_039427e27,018fbfcdb
id_0394d3d38,6b34e9796
id_039a40bd2,84342a1f5
id_039a6024d,4b09bc266
id_039ab27b6,486f27ec6
id_039cfc65b,6addf9927
id_039ec0a59,87d714366
id_03a148573,9f80f3f77
id_03a2ff06f,95fa83810
id_03a6b6129,9a6b15c7b
id_03adbd2e9,f2171f9a7
id_03aeb5688,b627b4156
id_03b10f32f,47324d95c
id_03b3801ce,4a93cfbbb
id_03b3b0015,244ef8123
id_03b676646,673a97299
id_03b910fe7,0a90ac6bb
id_03bc6d412,cacb2b860
id_03bdbab43,87d714366
id_03c043141,d1b47f29d
id_03c5df6d2,cacb2b860
id_03ccb7188,a31885e97
id_03cdc1e3d,cacb2b860
id_03d448466,3217b13d3
id_03d4e1eee,cacb2b860
id_03d57c47a,9f80f3f77
id_03d687876,1aa5a11e1
id_03db4e0c9,e28179d7f
id_03dbc3ba0,e0fcffe6a
id_03dd91d6c,87d714366
id_03ddcc10b,75ad700d0
id_03de5a1fc,a994d4d9b
id_03dfaea89,a9ac20ce4
id_03e015331,a994d4d9b
id_03e046ece,cacb2b860
id_03e2b01f2,947bca065
id_03e3a6c88,24379fd5e
id_03ebe50a1,b41d21dbe
id_03ee69030,936b511d2
id_03ee99eeb,9f61be6d5
id_03f1f6d7d,abbe5bb77
id_03f45f96c,37cbba316
id_0401ebb59,8e6a6f400
id_0402f3976,d70e663a3
id_0403aeeaa,591c4ee47
id_040417fb9,11f66c124
id_0405b554c,bbfef20b7
id_040956aef,a504820a4
id_040d1db4b,677ee6c42
id_040d3e4fa,cacb2b860
id_041040719,d08af5d4b
id_0412ac62d,a17e63cf1
id_04171c41d,e40153dde
id_0417e8df2,b76f50e48
id_041beba5f,cacb2b860
id_041c9ef8e,a551574a7
id_041d3830e,cacb2b860
id_04226b769,cbbb2153d
id_04244deaa,9ffde3b1b
id_0424a1c67,d71b19349
id_042d17a15,1787430b9
id_042d724d6,5ab704064
id_042e03163,f1441e94d
id_0432290a5,fabad7790
id_04356d6be,a4e7d9c48
id_0435d7193,cacb2b860
id_04368170e,ca8854531
id_04372d73c,87d714366
id_043cad7db,d73a5cf1c
id_044367eb7,3fa81b23a
id_044718c9e,88c37c66a
id_04471f82a,2a2b12fd6
id_0448572eb,c63785df5
id_044912271,1d9b3e2f3
id_04495c8c8,9f80f3f77
id_044ebfd4a,593a5d6ad
id_044f98b25,745a54458
id_0453e385b,62be1e189
id_0456e6cc2,bda439de9
id_045985616,d50f18348
id_045d1b7ce,fe213e3a3
id_045d9c804,04f5356dc
id_045df8f64,6b8b675cc
id_046098431,cacb2b860
id_04613f1ad,87d714366
id_04627f6cf,e20a1c258
id_0464a03aa,a551574a7
id_0468ecb01,e0cc7fd18
id_046b5b1cf,05e9ef087
id_046d8db84,92eee1e9c
id_046f15ae4,292ab2c28
id_0472e4637,37b33b4d6
id_047537e4d,d84d151f6
id_047715270,87d714366
id_04778cacb,e3c7cedf9
id_04780e3e4,c0560ba98
id_047eb1868,bab6fe7b9
id_04819226e,648905d98
id_0481e7f4b,87d714366
id_04827da4d,2eb7fc8f3
id_04865a9b9,f92989f8d
id_048a25f6d,0e33496df
id_048b6275f,89dbaa298
id_048cba0db,0e430527f
id_048cdfd4b,cacb2b860
id_048d2db1b,7614ec763
id_0490d37cd,ee812fc85
id_049105679,cacb2b860
id_049457e6d,a4797398a
id_049604b47,56b0af64b
id_049878d88,818fb35d2
id_04990214e,d814b3483
id_049e1bf88,10dbb5b2a
id_04a1f5a6e,ea2734432
id_04a50b246,ee45da161
id_04aa7e465,9ef936a40
id_04adcf161,ab50adc64
id_04ae37769,f2e39846a
id_04b146d4d,e0cd5c091
id_04b217d00,e4363bc6a
id_04b671b1e,48f7eba68
id_04c008e0e,cc2115976
id_04c164dd4,685f4da60
id_04c32bbd2,20c9d8e5c
id_04c5ffcfd,94e531807
id_04cb4ecb4,fd68e0363
id_04d5c9f3c,e572e62e2
id_04d653fe4,0b1ed98a0
id_04da0fb55,7e6b66a8f
id_04da5bea0,876e12b44
id_04db8fcfd,11f421f4b
id_04e619b65,807e10282
id_04e7a9e1b,11f66c124
id_04e7ef0c5,cacb2b860
id_04e848e80,4b51017d8
id_04e85bd3d,cacb2b860
id_04e8ce446,c0642cc5a
id_04eab6e8d,9f80f3f77
id_04f45df68,cacb2b860
id_04f805f61,87d714366
id_04fd87377,d4c515a95
id_04ff859c7,fd1b41aa2
id_04ffec848,108fb5b61
id_0501cc8c0,91a61ad44
id_050711b03,366cfd589
id_0507fd0bd,96c2fddf7
id_050b88c21,8f128b570
id_050e741df,cacb2b860
id_050f54b44,3f374d199
id_0511cfda7,d6b2e5cfc
id_0516434ac,bd2140972
id_051b04e7a,fff7d208d
id_051bc3547,2c1d6bb96
id_051c94bc8,eecfc72b8
id_051ccced6,3261b4495
id_051dbf5c8,b5facfcb6
id_05227abd1,9158344c4
id_0522a53df,cacb2b860
id_052495ec9,cacb2b860
id_052542ca1,b81934957
id_0526295a5,9800c0dfb
id_05271b5aa,a3357cf2a
id_05287ba6c,4ea178d99
id_0529498cb,fb1b9a664
id_052a78696,7b879f902
id_052f54a1b,a3bf5eb18
id_0536d3269,cacb2b860
id_05375510c,b12140550
id_053e02667,533f455c4
id_05400ab11,4d98f3161
id_0540547fa,fdda3eb67
id_054206964,6a1616f45
id_0544f8fa6,87d714366
id_05459baf6,28f1045d8
id_0545ae188,0393401cc
id_0546da774,8b87a7a83
id_05487da6c,5628cb3ee
id_0548e212c,cacb2b860
id_054dd9e1d,bd1ff4469
id_054e0e423,5cdc04c1e
id_055047feb,a85e8ffe9
id_0551c9260,352f26962
id_0552d7a6e,4bbdba432
id_05561a0c3,a82072ffe
id_05573b066,e234cbb34
id_05584405a,51d1eec61
id_055d4f04f,cacb2b860
id_055def204,cacb2b860
id_055f00bf7,c19a2ce6c
id_0560f34cd,e3b381912
id_05617ce74,a0e292dfb
id_0563e1056,06008aff2
id_0565d8be2,d08af5d4b
id_05664d45e,661a4dd2f
id_0566db8ed,fbcfd25a7
id_057162de2,bb3b7c7d5
id_057588ef8,9497c295d
id_0577dc7cb,6b8b675cc
id_05786a8fd,87d714366
id_057a29ae9,52d1e6f43
id_057c57231,ab39b39cb
id_057cb4ee2,cacb2b860
id_057d81388,cdbfcb1ea
id_057ff1bfb,3f40f8f4b
id_0581f64ee,3e5ede2f6
id_0582e610a,4e3cc369d
id_0583e4a97,ed4e951ad
id_058b09267,56e484932
id_05923ca7e,92b066eb4
id_059593bb9,e706cbe5f
id_0598a396a,cbfaff9d1
id_059db2229,9300311a3
id_059df83ef,77cb724f6
id_05a43e02a,2ad36b16a
id_05a879aa0,cacb2b860
id_05aa3a203,ea10f36e5
id_05acecb88,3859c44f3
id_05ae06798,cacb2b860
id_05b14f5f6,0034c0847
id_05b817224,4c5736ff6
id_05b92cf23,6c3a8ced5
id_05bb9c82d,9898cba0d
id_05bd7e0e4,cacb2b860
id_05be6f34e,eaf243b69
id_05c10f90d,d379daa8f
id_05c14e503,34a1356e1
id_05c530eaf,474256f71
id_05c65b056,3702115d8
id_05c7b4bc1,afafe3ca9
id_05c97e778,cbfaff9d1
id_05cb1625e,87d714366
id_05cbc2a3b,ac304c699
id_05cc21222,15da4702d
id_05cce3bcb,586aa4a46
id_05d6aa34c,7598f853b
id_05d7f86a7,e66896455
id_05da7422b,c7b437f52
id_05dc1b135,cacb2b860
id_05dd8f8d7,7ec99cbab
id_05df28c5e,b69604f5d
id_05e1f6eaa,e063b1bdc
id_05e3f9e7f,b4c9484ae
id_05e7f604e,3a9e165e8
id_05e90b72c,cd5323b1a
id_05ea3a52e,6dfda028e
id_05f9f6422,94255bcc3
id_05f9f9c2c,3859c44f3
id_05f9ffc64,af7c2babf
id_05fab8e6e,82b9b3b09
id_05fc1d2eb,6511c8e6e
id_060539684,ee812fc85
id_06080a846,87d714366
id_0609b9918,035a6a762
id_060a6338d,88df04154
id_060c9abea,92eee1e9c
id_060f3a8d6,d50f18348
id_06100bd1f,3a3f16d5b
id_061062e99,cacb2b860
id_061199516,ac1a855c8
id_06121faaa,07ab9d694
id_061480bcf,d14b6b651
id_061703238,8b87a7a83
id_06189ce9a,38839e72e
id_061c38228,fdcd6eba3
id_061f79f0f,d1b47f29d
id_062ae82df,cbf191cb2
id_062b9b1c2,88676b017
id_062d58813,5fa33e0d4
id_062e996d7,0a9da712c
id_062f184ff,83a9ea167
id_06312a113,cacb2b860
id_06393af9f,ed70316b5
id_06395227f,292ab2c28
id_063bb8a11,40bfdfbb7
id_063def5c5,c27e6af6f
id_063e8e7d6,838575b1d
id_063ecfe30,6f3b29e16
id_063f2f075,0bcee96a5
id_06428d31f,d08af5d4b
id_0644c9ffc,a2a784ba2
id_064603dcb,292ab2c28
id_0646ece8b,df190d2b7
id_0648abd5f,e54290f0a
id_064901c0f,cacb2b860
id_064a09952,285fbb0b0
id_064a6e22c,c7cc905d6
id_064ac77f9,39b5b0061
id_0651a3ed7,5b4c20c9e
id_0652a43ab,d6b2e5cfc
id_06562f945,3afc0fb95
id_0658dda75,55cb720a2
id_065968a5b,959b696e2
id_065985006,87d714366
id_065af93a8,66228e858
id_065bc9648,a85e24e2e
id_065e12f9e,e26639b1b
id_065f1df01,55e4096d8
id_065f38d2e,d55a12962
id_06600f2fa,aaf5e7891
id_0661ac1ee,c4fd19474
id_0661dcea9,c2984f3f3
id_0663b072f,84ba1361d
id_06674ea0c,2682044c0
id_06689feb9,30bcad061
id_06691a110,eabf61af2
id_066adb43f,eca05dee9
id_066af2d5e,e2b16c903
id_067111b8e,cacb2b860
id_0676db14f,d50f18348
id_067798631,87d714366
id_067a17aaa,9ab79493d
id_067c6f57c,8b9a7ff56
id_068246406,8b03bfee8
id_06834da34,87d714366
id_06852166f,53eec2b51
id_068573b37,cacb2b860
id_068b49e92,3e2f492de
id_068d2e8e2,1ac3046e2
id_068e73c22,d1b47f29d
id_068ecbfee,cacb2b860
id_06903484e,79e6b524a
id_0691129aa,9f80f3f77
id_0692694d4,cacb2b860
id_0693d1c7a,9dc12fdd6
id_0693fe83a,0d353a095
id_069470d9c,de7583071
id_0699adc64,472eaa5fd
id_069b1fc41,cbdf6b874
id_069e56abb,48664aa93
id_06a0e7b16,ff32409d8
id_06a4a1ba5,d7b50861a
id_06a825b1e,35deba05e
id_06acc804d,cacb2b860
id_06b298229,b5facfcb6
id_06b45cc83,b9afc9998
id_06b620d6c,d9189d323
id_06b8d575d,3ff075492
id_06bae2ece,4a1fafc76
id_06bc2082e,c07e23058
id_06c10d4b9,65a17f42f
id_06c151919,87d714366
id_06c1d93d7,f8af0e4c2
id_06c529956,5d9a42dc4
id_06c5f2714,292ab2c28
id_06c697773,d201bb3e9
id_06c867db3,7ad9cd84c
id_06cdf6042,816b84388
id_06cfcd793,eb3142243
id_06d23164f,952b76dfc
id_06d32f557,cacb2b860
id_06d514a5f,be94ae2b9
id_06d5bda32,3f40f8f4b
id_06d5f8a2b,cacb2b860
id_06de1ba70,cdee6b7bf
id_06e63ab8b,d149a15f5
id_06e966d58,9326faad2
id_06ec6d4c8,d08af5d4b
id_06f86780b,fcafcf5a9
id_06f87b97e,7c161c5dd
id_06fe6d5c0,8b87a7a83
id_0700f77b9,87d714366
id_0705f2102,f5f05bec7
id_07060fa4f,87d714366
id_0708b120e,77ca07d42
id_070e27c05,ee24bf4a9
id_070e69925,a7533d956
id_070ea08b8,36483057c
id_0711bc6dd,d50f18348
id_071258523,e6c9f05e5
id_07157f4f7,cacb2b860
id_0716fb9f0,9ec582849
id_071cf3fce,7ace6b8cc
id_0723503c2,cacb2b860
id_0729e9a15,cef9e7a3f
id_072ad147c,cacb2b860
id_072f6f8f8,c6e681fa2
id_073128f9c,8c71e5d12
id_073475337,d1b47f29d
id_07352f790,f94118abd
id_073a5741a,87d714366
id_073c44be2,8c7f86626
id_073fe3298,dca99d7e0
id_07422aba7,0a0ad13f2
id_0744dac2a,124e2dd9b
id_074a6bf37,feaadfd38
id_074f5a92f,56cda8284
id_0751987f5,53c1987ae
id_0751b1418,15cca0884
id_075252e18,aeda2a606
id_0755f688c,8dc38b449
id_075a6a517,948fbf412
id_075cdb4e0,c862a0e7a
id_075d82473,8d2005452
id_0766ae82e,3befd988e
id_0769c8cbb,87d714366
id_076b6a254,3d4298d4a
id_076d60cd5,d1d4140f4
id_0773d8535,c46fe11a6
id_07743ad4d,f92989f8d
id_077751a34,6f430a5f0
id_077926440,6a652b57d
id_077b92c37,b4c9484ae
id_07804fe1e,afd0dbace
id_078118770,ccb72441a
id_078271c0d,cbea1c11f
id_078392deb,f0c8c7276
id_078a2d965,755d4d0c1
id_078a8d19e,4c3c6717e
id_078f0b0a3,768d09287
id_07925a0a2,65d7f344a
id_0797bcf33,3bab16931
id_079aaac43,953553a62
id_079b94eff,89dbaa298
id_079e18463,24a3fbf37
id_07a150333,ed4c86647
id_07a34a85d,fd68e0363
id_07a3f0b51,cacb2b860
id_07a4dae3a,ded810675
id_07a767b69,cacb2b860
id_07a9c2eb6,cacb2b860
id_07aa71c12,87d714366
id_07accbce3,b9afc9998
id_07af3f84b,bc52b55cf
id_07b1f6bdb,bf313303a
id_07b7426b2,b9e3cb10b
id_07b926e41,4c1e55d1a
id_07b96530c,da6bec758
id_07bda871a,6540c0b79
id_07bea2205,18d693579
id_07c00d1f2,ba87a83c2
id_07c11cafa,8e62620d4
id_07c1666ac,a9b96bdd4
id_07c25e5d6,cacb2b860
id_07c89c72d,025d91250
id_07d9022db,53dd6a6e0
id_07da0461f,858545f06
id_07dca0937,d50f18348
id_07de073c5,82dcdb180
id_07e154ba8,d1b47f29d
id_07e288fbd,0d3eea33f
id_07e2e03f1,9e9c9ce56
id_07e3bf901,6986f2497
id_07e58c049,636db6870
id_07e69f968,b96fb04fa
id_07e7afe80,44fa43b03
id_07e83bc76,cacb2b860
id_07ea19e48,d08af5d4b
id_07ec3439a,c698c8260
id_07ecb3e85,c70de2656
id_07ed3e7d0,0f2ec8169
id_07ed6ce4d,90bf1a888
id_07f2731b8,aed11ae9b
id_07f48c9c1,75ad700d0
id_07f7bedce,dc8d950ae
id_07f96f130,a8866b858
id_07fd62b7b,5f146f9eb
id_07fdbf51e,ea2734432
id_07fe5c8ac,9f907fcd6
id_07fea82ef,cacb2b860
id_08040a5f1,c7b437f52
id_08040e109,d08af5d4b
id_08068cc60,e82115bdb
id_0807526e6,b671e5063
id_08079b8fe,33ea7c31c
id_080914592,8c7f86626
id_080cbfb09,46d0c83d4
id_080ee8072,c30e1eb76
id_08124df5c,9e24f0cb6
id_0815ab35b,f9a72fa7b
id_0817d555c,d94ef3b56
id_081867eb0,cacb2b860
id_0818efde4,ef8863aaf
id_082451f20,38b3fa4be
id_082717db1,47547f290
id_0829c8125,cacb2b860
id_082a56c73,e68774cb2
id_082aba7b4,c6b4eab57
id_082c2743c,8f19f8d8b
id_083216179,e5922d23c
id_083245ac2,8990833d7
id_08371c7fe,6f039ecfb
id_083e690fb,c8f4266c8
id_0840fff5f,cacb2b860
id_0841e44d0,eca05dee9
id_08422d62f,280fbcd35
id_084972c31,f6d5a3dae
id_084a7d4cf,0b1ed98a0
id_08512ff16,68c329b79
id_085234929,c1a6b83a0
id_0853041ac,cacb2b860
id_08551cb80,3f3f003bc
id_08569883c,f2d2549de
id_085905dd9,dc60edcec
id_085efcefc,ad2f68280
id_085f9d65b,a994d4d9b
id_086481895,23b488dc9
id_08671b974,ea6a9bd66
id_0868d3b43,697cb2e39
id_086f02dce,cacb2b860
id_0873e765c,cacb2b860
id_08773b1bc,3e0223fe5
id_087a9b0c4,15fcb2fab
id_087af9211,bba687caa
id_087d5ac3b,d032e3d51
id_087e25143,cedb6c4a8
id_087eef483,77e03202d
id_087f45b0c,4c8a8d560
id_087f99aa5,3db193b3b
id_0880ae443,51acf3c88
id_0880ea33c,07e329107
id_0882a2944,cacb2b860
id_0883aa5a9,15dba629f
id_0885a5d3c,40bfdfbb7
id_08895fbd5,8525f258f
id_088a97025,827cc5d8d
id_088eaa4d4,2e857e043
id_08921988f,6ba823ea2
id_089297df9,8fdbae36c
id_08944f6e7,97b1b62ef
id_089684aa3,6addf9927
id_0897eb75c,293ee6a10
id_08981fad1,673c67b84
id_0898dced4,ed70316b5
id_08a284550,c1e8f63a7
id_08a7125a6,cacb2b860
id_08a79bdc1,fb7304491
id_08a7e5edb,80ea3c823
id_08a9df853,262da47c0
id_08aa2650c,4d8786048
id_08abaa033,cacb2b860
id_08aeb6e62,c1dab6039
id_08b0e7b17,30ebb536b
id_08b1a6056,c5dae49f8
id_08bdc0f31,de38cdddc
id_08bf3141f,35238271c
id_08c0779c0,c6b490579
id_08c0cb1c4,c36a35183
id_08c603d85,647c5de12
id_08c6c9b16,032128cc7
id_08c71c324,e4363bc6a
id_08c767903,06cb74093
id_08c91b32c,72d0488d1
id_08c941d58,3df6fc891
id_08ca53ec0,7db360ff6
id_08cb20d26,cacb2b860
id_08cbe21a9,eef00a2d4
id_08cc332d8,37eedc0ba
id_08cd1e6b2,6a834c77e
id_08cf03104,872bc007e
id_08d1726b9,a3c658a7e
id_08d581ca8,7df080041
id_08d6bd198,0a5a4f458
id_08d9b9f1a,24936702f
id_08e5b2b3f,5628cb3ee
id_08e72d81b,1bece7355
id_08ec659cb,d7bbcf01c
id_08f4c2673,6a1c3dbaa
id_08f556ff1,3daf3ab5b
id_08f83e900,49b0fc6d7
id_08f897793,50b4efb08
id_08fbc6131,cacb2b860
id_08ffed841,ed81f4046
id_090a5343d,4da81d116
id_090cc7901,07ab9d694
id_090d5faab,c862a0e7a
id_09104198b,fabad7790
